Epoch: [4][100/2429]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 4.4036 (4.1665)	Prec@1 6.250 (13.954)	Prec@5 34.375 (34.808)
Epoch: [4][200/2429]	Time 0.017 (0.017)	Data 0.000 (0.001)	Loss 3.8667 (4.1731)	Prec@1 15.625 (13.511)	Prec@5 37.500 (34.204)
Epoch: [4][300/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.9964 (4.1448)	Prec@1 15.625 (13.684)	Prec@5 34.375 (34.728)
Epoch: [4][400/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.2901 (4.1356)	Prec@1 9.375 (13.770)	Prec@5 31.250 (34.843)
Epoch: [4][500/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 4.2991 (4.1062)	Prec@1 18.750 (14.184)	Prec@5 31.250 (35.573)
Epoch: [4][600/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.7750 (4.0926)	Prec@1 15.625 (14.543)	Prec@5 43.750 (35.815)
Epoch: [4][700/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.6833 (4.0775)	Prec@1 15.625 (14.618)	Prec@5 46.875 (36.229)
Epoch: [4][800/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 4.0819 (4.0476)	Prec@1 15.625 (15.137)	Prec@5 40.625 (36.880)
Epoch: [4][900/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.6612 (4.0161)	Prec@1 25.000 (15.538)	Prec@5 46.875 (37.576)
Epoch: [4][1000/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.6392 (3.9969)	Prec@1 31.250 (15.840)	Prec@5 50.000 (37.971)
Epoch: [4][1100/2429]	Time 0.016 (0.016)	Data 0.000 (0.000)	Loss 3.9655 (3.9761)	Prec@1 12.500 (16.238)	Prec@5 40.625 (38.536)
Epoch: [4][1200/2429]	Time 0.017 (0.016)	Data 0.000 (0.000)	Loss 3.8926 (3.9600)	Prec@1 25.000 (16.510)	Prec@5 34.375 (38.895)
Epoch: [4][1300/2429]	Time 0.016 (0.016)	Data 0.000 (0.000)	Loss 3.6601 (3.9367)	Prec@1 18.750 (16.848)	Prec@5 46.875 (39.422)
Epoch: [4][1400/2429]	Time 0.017 (0.016)	Data 0.000 (0.000)	Loss 3.2211 (3.9148)	Prec@1 25.000 (17.202)	Prec@5 53.125 (39.815)
Epoch: [4][1500/2429]	Time 0.016 (0.016)	Data 0.000 (0.000)	Loss 3.1198 (3.8914)	Prec@1 12.500 (17.511)	Prec@5 65.625 (40.359)
Epoch: [4][1600/2429]	Time 0.016 (0.016)	Data 0.000 (0.000)	Loss 3.6568 (3.8706)	Prec@1 18.750 (17.817)	Prec@5 43.750 (40.818)
Epoch: [4][1700/2429]	Time 0.016 (0.016)	Data 0.000 (0.000)	Loss 4.0698 (3.8515)	Prec@1 18.750 (18.175)	Prec@5 34.375 (41.255)
Epoch: [4][1800/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.2150 (3.8314)	Prec@1 21.875 (18.519)	Prec@5 53.125 (41.708)
Epoch: [4][1900/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.4981 (3.8110)	Prec@1 25.000 (18.908)	Prec@5 40.625 (42.136)
Epoch: [4][2000/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.1184 (3.7876)	Prec@1 21.875 (19.343)	Prec@5 50.000 (42.674)
Epoch: [4][2100/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.4538 (3.7676)	Prec@1 37.500 (19.686)	Prec@5 53.125 (43.151)
Epoch: [4][2200/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.1494 (3.7483)	Prec@1 21.875 (20.018)	Prec@5 50.000 (43.574)
Epoch: [4][2300/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.6655 (3.7248)	Prec@1 28.125 (20.389)	Prec@5 37.500 (44.100)
Epoch: [4][2400/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.3924 (3.7040)	Prec@1 28.125 (20.713)	Prec@5 50.000 (44.543)
Epoch: [5][0/2429]	Time 0.102 (0.102)	Data 0.094 (0.094)	Loss 3.6967 (3.6967)	Prec@1 31.250 (31.250)	Prec@5 59.375 (59.375)
Epoch: [5][100/2429]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 3.8549 (3.1916)	Prec@1 21.875 (29.796)	Prec@5 37.500 (56.250)
Epoch: [5][200/2429]	Time 0.017 (0.017)	Data 0.000 (0.001)	Loss 3.3358 (3.1482)	Prec@1 37.500 (30.442)	Prec@5 56.250 (56.141)
Epoch: [5][300/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.8405 (3.1055)	Prec@1 40.625 (31.447)	Prec@5 68.750 (57.361)
Epoch: [5][400/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.0263 (3.0690)	Prec@1 25.000 (32.107)	Prec@5 56.250 (58.066)
Epoch: [5][500/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.7698 (3.0484)	Prec@1 40.625 (32.722)	Prec@5 68.750 (58.570)
Epoch: [5][600/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.1042 (3.0312)	Prec@1 21.875 (32.929)	Prec@5 46.875 (58.850)
Epoch: [5][700/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.7742 (3.0239)	Prec@1 31.250 (33.091)	Prec@5 62.500 (58.978)
Epoch: [5][800/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.9777 (3.0165)	Prec@1 31.250 (33.169)	Prec@5 62.500 (59.223)
Epoch: [5][900/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.2042 (3.0047)	Prec@1 31.250 (33.341)	Prec@5 50.000 (59.541)
Epoch: [5][1000/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 2.8908 (2.9905)	Prec@1 37.500 (33.566)	Prec@5 62.500 (59.850)
Epoch: [5][1100/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.8215 (2.9808)	Prec@1 37.500 (33.674)	Prec@5 68.750 (60.073)
Epoch: [5][1200/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 2.8686 (2.9668)	Prec@1 40.625 (33.922)	Prec@5 71.875 (60.361)
Epoch: [5][1300/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 2.2140 (2.9516)	Prec@1 40.625 (34.164)	Prec@5 68.750 (60.691)
Epoch: [5][1400/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.8487 (2.9427)	Prec@1 50.000 (34.284)	Prec@5 62.500 (60.876)
Epoch: [5][1500/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.6109 (2.9270)	Prec@1 43.750 (34.675)	Prec@5 62.500 (61.207)
Epoch: [5][1600/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.5955 (2.9105)	Prec@1 34.375 (34.994)	Prec@5 75.000 (61.475)
Epoch: [5][1700/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 3.5512 (2.8916)	Prec@1 31.250 (35.338)	Prec@5 40.625 (61.813)
Epoch: [5][1800/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 3.0375 (2.8778)	Prec@1 34.375 (35.567)	Prec@5 65.625 (62.127)
Epoch: [5][1900/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 2.8904 (2.8624)	Prec@1 43.750 (35.907)	Prec@5 68.750 (62.401)
Epoch: [5][2000/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.1870 (2.8495)	Prec@1 40.625 (36.158)	Prec@5 71.875 (62.612)
Epoch: [5][2100/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.6409 (2.8351)	Prec@1 46.875 (36.465)	Prec@5 62.500 (62.875)
Epoch: [5][2200/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.5172 (2.8219)	Prec@1 40.625 (36.725)	Prec@5 71.875 (63.128)
Epoch: [5][2300/2429]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 2.8995 (2.8056)	Prec@1 37.500 (37.060)	Prec@5 53.125 (63.391)
Epoch: [5][2400/2429]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.0454 (2.7898)	Prec@1 50.000 (37.402)	Prec@5 78.125 (63.652)
