Epoch: [5][1300/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 2.2412 (2.6059)	Prec@1 40.625 (41.687)	Prec@5 75.000 (66.665)
Epoch: [5][1400/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.1836 (2.5909)	Prec@1 43.750 (41.974)	Prec@5 68.750 (66.850)
Epoch: [5][1500/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.5267 (2.5740)	Prec@1 46.875 (42.295)	Prec@5 71.875 (67.201)
Epoch: [5][1600/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 1.8559 (2.5587)	Prec@1 59.375 (42.608)	Prec@5 78.125 (67.423)
Epoch: [5][1700/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.7610 (2.5456)	Prec@1 46.875 (42.927)	Prec@5 68.750 (67.677)
Epoch: [5][1800/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 1.7581 (2.5358)	Prec@1 53.125 (43.141)	Prec@5 84.375 (67.796)
Epoch: [5][1900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 1.9287 (2.5207)	Prec@1 59.375 (43.490)	Prec@5 81.250 (68.043)
Epoch: [5][2000/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.4505 (2.5085)	Prec@1 34.375 (43.742)	Prec@5 71.875 (68.260)
Epoch: [6][0/2092]	Time 0.138 (0.138)	Data 0.130 (0.130)	Loss 2.4571 (2.4571)	Prec@1 46.875 (46.875)	Prec@5 56.250 (56.250)
Epoch: [6][100/2092]	Time 0.016 (0.018)	Data 0.000 (0.001)	Loss 1.7559 (2.1554)	Prec@1 53.125 (50.093)	Prec@5 84.375 (74.598)
Epoch: [6][200/2092]	Time 0.017 (0.017)	Data 0.000 (0.001)	Loss 1.9564 (2.1227)	Prec@1 56.250 (51.290)	Prec@5 81.250 (75.202)
Epoch: [6][300/2092]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 2.1642 (2.1013)	Prec@1 53.125 (51.568)	Prec@5 75.000 (75.301)
Epoch: [6][400/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 2.4680 (2.1011)	Prec@1 37.500 (51.699)	Prec@5 71.875 (75.288)
Epoch: [6][500/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.6720 (2.0914)	Prec@1 34.375 (51.809)	Prec@5 62.500 (75.387)
Epoch: [6][600/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.1101 (2.0781)	Prec@1 37.500 (51.929)	Prec@5 75.000 (75.692)
Epoch: [6][700/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 1.9886 (2.0811)	Prec@1 46.875 (52.024)	Prec@5 78.125 (75.539)
Epoch: [6][800/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.5048 (2.0770)	Prec@1 40.625 (52.212)	Prec@5 75.000 (75.659)
Epoch: [6][900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.0280 (2.0705)	Prec@1 46.875 (52.386)	Prec@5 71.875 (75.767)
Epoch: [6][1000/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 1.4667 (2.0551)	Prec@1 71.875 (52.760)	Prec@5 87.500 (75.980)
Epoch: [6][1100/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 1.4703 (2.0499)	Prec@1 68.750 (52.932)	Prec@5 75.000 (76.073)
Epoch: [6][1200/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.3024 (2.0451)	Prec@1 43.750 (53.081)	Prec@5 71.875 (76.155)
Epoch: [6][1300/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.7193 (2.0342)	Prec@1 37.500 (53.151)	Prec@5 71.875 (76.309)
Epoch: [6][1400/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 1.4614 (2.0231)	Prec@1 59.375 (53.413)	Prec@5 81.250 (76.510)
Epoch: [6][1500/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 1.8277 (2.0161)	Prec@1 56.250 (53.610)	Prec@5 75.000 (76.582)
Epoch: [6][1600/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 1.9547 (2.0144)	Prec@1 56.250 (53.689)	Prec@5 75.000 (76.603)
Epoch: [6][1700/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 1.9194 (2.0088)	Prec@1 62.500 (53.796)	Prec@5 87.500 (76.692)
Epoch: [6][1800/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.0887 (2.0025)	Prec@1 50.000 (53.925)	Prec@5 71.875 (76.796)
Epoch: [6][1900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 1.4458 (1.9906)	Prec@1 62.500 (54.187)	Prec@5 87.500 (76.913)
Epoch: [6][2000/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 1.3262 (1.9828)	Prec@1 65.625 (54.399)	Prec@5 93.750 (76.987)
Epoch: [7][0/2092]	Time 0.137 (0.137)	Data 0.130 (0.130)	Loss 1.4300 (1.4300)	Prec@1 71.875 (71.875)	Prec@5 81.250 (81.250)
Epoch: [7][100/2092]	Time 0.016 (0.018)	Data 0.000 (0.001)	Loss 1.9000 (1.7294)	Prec@1 56.250 (60.458)	Prec@5 81.250 (80.322)
Epoch: [7][200/2092]	Time 0.016 (0.017)	Data 0.000 (0.001)	Loss 1.6469 (1.7161)	Prec@1 65.625 (60.448)	Prec@5 81.250 (80.690)
Epoch: [7][300/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 1.6073 (1.7180)	Prec@1 65.625 (60.475)	Prec@5 84.375 (80.804)
Epoch: [7][400/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 1.6578 (1.7065)	Prec@1 65.625 (60.575)	Prec@5 81.250 (81.079)
Epoch: [7][500/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 1.7074 (1.7134)	Prec@1 56.250 (60.373)	Prec@5 81.250 (80.907)
Epoch: [7][600/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 1.8768 (1.7118)	Prec@1 65.625 (60.524)	Prec@5 75.000 (80.943)
Epoch: [7][700/2092]	Time 0.017 (0.017)	Data 0.000 (0.000)	Loss 1.7644 (1.7068)	Prec@1 56.250 (60.614)	Prec@5 84.375 (80.991)
Epoch: [7][800/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 1.3056 (1.7052)	Prec@1 65.625 (60.717)	Prec@5 87.500 (80.981)
Epoch: [7][900/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.1824 (1.6965)	Prec@1 46.875 (60.814)	Prec@5 78.125 (81.101)
Epoch: [7][1000/2092]	Time 0.016 (0.017)	Data 0.000 (0.000)	Loss 2.9202 (1.6924)	Prec@1 37.500 (60.845)	Prec@5 56.250 (81.188)
